"","ref_yy","metcode","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount","ref_qq","population","underconstr_per_10kpop"
"185","1999","0580","December 31, 1999","HALIFAX",825,320,2.578125,0,4,"365659.113",22.5619975181639
"186","1999","1490","December 31, 1999","REGINA",332,204,1.62745098039216,0,4,"199378.229",16.6517679319942
"187","1999","1700","December 31, 1999","SASKATOON",737,278,2.65107913669065,0,4,"232000.601",31.767159085937
"188","1999","2410","December 31, 1999","VANCOUVER",7320,1896,3.86075949367089,0.409810126582278,4,"2037155.74",35.9324515856603
"189","2000","0580","December 31, 2000","HALIFAX",1182,214,5.52336448598131,0.0607476635514019,4,"368750.313",32.0542100800874
"190","2000","1490","December 31, 2000","REGINA",231,144,1.60416666666667,0.0138888888888889,4,"198013.721",11.6658582462576
"191","2000","1700","December 31, 2000","SASKATOON",441,221,1.99547511312217,0,4,"232228.601",18.9899089991934
"192","2000","2410","December 31, 2000","VANCOUVER",6411,1797,3.56761268781302,0.421257651641625,4,"2071193.06",30.9531743989138
"193","2001","0580","December 31, 2001","HALIFAX",1260,314,4.01273885350319,0.0127388535031847,4,"373983.162",33.6913564039014
"194","2001","1490","December 31, 2001","REGINA",330,149,2.21476510067114,0.0268456375838926,4,"197793.239",16.6840889844571
"195","2001","1700","December 31, 2001","SASKATOON",403,212,1.90094339622642,0,4,"233960.185",17.2251530746567
"196","2001","2410","December 31, 2001","VANCOUVER",9137,2149,4.25174499767334,0.441600744532341,4,"2095687.7599999998",43.5990521794144
"197","2002","0580","December 31, 2002","HALIFAX",1975,690,2.86231884057971,0.0217391304347826,4,"377718.902",52.2875606580049
"198","2002","1490","December 31, 2002","REGINA",386,266,1.45112781954887,0,4,"198866.753",19.4099815166188
"199","2002","1700","December 31, 2002","SASKATOON",883,396,2.22979797979798,0,4,"235521.95599999998",37.4911967867658
"200","2002","2410","December 31, 2002","VANCOUVER",10941,3201,3.41799437675726,0.399562636676039,4,"2113272.2600000002",51.7727895600163
"201","2003","0580","December 31, 2003","HALIFAX",1900,401,4.73815461346633,0,4,"380503.52400000003",49.933834515551
"202","2003","1490","December 31, 2003","REGINA",545,287,1.89895470383275,0,4,"200026.833",27.2463444941909
"203","2003","1700","December 31, 2003","SASKATOON",669,355,1.88450704225352,0,4,"237924.912",28.1181148445691
"204","2003","2410","December 31, 2003","VANCOUVER",13326,3415,3.90219619326501,0.453294289897511,4,"2130166.64",62.5584860346888
"205","2004","0580","December 31, 2004","HALIFAX",1636,437,3.74370709382151,0.0068649885583524,4,"381569.226",42.875575086341
"206","2004","1490","December 31, 2004","REGINA",861,456,1.88815789473684,0,4,"200305.777",42.984281976051
"207","2004","1700","December 31, 2004","SASKATOON",925,450,2.05555555555556,0,4,"239407.135",38.6371107945467
