"ref_yy","metcode","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","reference_period_qq","ref_qq","population","starts_per_10kpop"
"2000","2270","June 30, 2000","TORONTO",38982,NA,NA,21005,1.85584384670317,0.017472030468936,0.817956349206349,"2000-4","4",4867120.12,80.0925373504034
"2000","2440","June 30, 2000","VICTORIA",872,NA,NA,605,1.44132231404959,0.00330578512396694,0.553719008264463,"2000-4","4",325388.316,26.7987495900129
"2000","0140","March 31, 2000","CALGARY",11093,NA,NA,7287,1.52229998627693,0.00590091944558803,0.3095924248662,"2000-4","4",974556.104,113.826181524794
"2000","2680","March 31, 2000","WINNIPEG",1317,NA,NA,1224,1.07598039215686,0,0.396997497914929,"2000-4","4",695482.826,18.9364848528984
"2000","2410","December 31, 2000","VANCOUVER",8203,NA,NA,3750,2.18746666666667,0.186133333333333,0.598933333333333,"2000-4","4",2071193.06,39.6051925743706
"2001","0140","March 31, 2001","CALGARY",11349,NA,NA,8140,1.39422604422604,0.00135135135135135,0.311670761670762,"2001-4","4",1004815.47,112.94611138899
"2001","1490","March 31, 2001","REGINA",626,NA,NA,424,1.47641509433962,0.00943396226415094,0.0707547169811321,"2001-4","4",197793.239,31.6492112250611
"2001","2680","March 31, 2001","WINNIPEG",1473,NA,NA,1267,1.16258879242305,0.00236779794790845,0.404323458767014,"2001-4","4",699611.33,21.0545475299835
"2001","2270","June 30, 2001","TORONTO",41017,NA,NA,20547,1.9962524942814,0.0335815447510585,1.08290260464174,"2001-4","4",4992213.18,82.161956072557
"2001","2410","March 31, 2001","VANCOUVER",10862,NA,NA,4238,2.56300141576215,0.218263331760264,0.579282680509674,"2001-4","4",2095687.76,51.8302402071576
"2001","0610","June 30, 2001","HAMILTON",3365,NA,NA,2057,1.63587749149246,0,0.381679389312977,"2001-4","4",696023.087,48.3460974621378
