reference_period,ref_qq,metcode,metro,FSA,inventory,num_structures,unitsperstructure,avgstorycnt
2010-03-01,1,0140,Calgary,T2V,11.0,2,5.5,0.0
2010-03-01,1,0140,Calgary,T3B,1.0,1,1.0,0.0
2010-03-01,1,0140,Calgary,T2E,18.0,9,2.0,0.0
2010-03-01,1,0140,Calgary,T2P,9.0,1,9.0,0.0
2010-03-01,1,0140,Calgary,T2T,22.0,11,2.0,0.0
2010-03-01,1,0140,Calgary,T3C,22.0,1,22.0,9.0
2010-03-01,1,0140,Calgary,T2S,3.0,2,1.5,0.0
2010-03-01,1,0140,Calgary,T3G,8.0,1,8.0,0.0
2010-03-01,1,0140,Calgary,T2A,27.0,1,27.0,4.0
2010-03-01,1,0140,Calgary,T2M,5.0,5,1.0,0.0
2010-06-01,2,0140,Calgary,T2A,25.0,1,25.0,4.0
2010-06-01,2,0140,Calgary,T2B,7.0,1,7.0,3.0
2010-06-01,2,0140,Calgary,T3B,3.0,2,1.5,0.0
2010-06-01,2,0140,Calgary,T2M,4.0,4,1.0,0.0
2010-06-01,2,0140,Calgary,T2Y,44.0,1,44.0,0.0
2010-06-01,2,0140,Calgary,T2C,11.0,10,1.1,0.0
2010-06-01,2,0140,Calgary,T2P,7.0,1,7.0,0.0
2010-06-01,2,0140,Calgary,T2S,3.0,2,1.5,0.0
2010-06-01,2,0140,Calgary,T3E,6.0,2,3.0,0.0
2010-06-01,2,0140,Calgary,T3J,5.0,5,1.0,0.0
2010-06-01,2,0140,Calgary,T4C,61.0,37,1.65,0.0
2010-06-01,2,0140,Calgary,T1Y,10.0,1,10.0,0.0
2010-06-01,2,0140,Calgary,T2T,20.0,12,1.67,0.0
2010-06-01,2,0140,Calgary,T2V,2.0,2,1.0,0.0
2010-06-01,2,0140,Calgary,T2G,98.0,6,16.33,1.0
2010-06-01,2,0140,Calgary,T3C,22.0,1,22.0,9.0
2010-06-01,2,0140,Calgary,T2E,11.0,5,2.2,0.0
2010-06-01,2,0140,Calgary,T2N,21.0,4,5.25,0.0
